,Zipcode,City,Area ID,Area Name,Crime Code,Crime Code Description,Date Occurred,Date Reported,DR #,Latitude,Longitude,Location,MO Code,Premise Code,Reporting District,Time Occurred,mo_descriptions
70,90017,los angeles,01,Central,624,BATTERY - SIMPLE ASSAULT,2010-03-14,2010-03-15,100100714,34.0451,-118.2604,600 W  9TH                          ST,0416,406,0162,2050,{'0416': 'Hit-Hit w/ weapon'}
71,90014,los angeles,01,Central,626,INTIMATE PARTNER - SIMPLE ASSAULT,2010-03-15,2010-03-15,100100715,34.0407,-118.2468,700 S  SAN PEDRO                    ST,2000,502,0176,0001,{'2000': 'Domestic violence'}
72,90021,los angeles,01,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),2010-03-14,2010-03-14,100100716,34.0384,-118.2305,6TH                          ST,0329,102,0159,2305,{'0329': 'Vandalized'}
73,90014,los angeles,01,Central,624,BATTERY - SIMPLE ASSAULT,2010-03-16,2010-03-16,100100719,34.0446,-118.2450,5TH                          ST,0416,503,0156,1650,{'0416': 'Hit-Hit w/ weapon'}
74,90014,los angeles,01,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),2010-03-18,2010-03-18,100100723,34.0424,-118.2493,300 E  7TH                          ST,0329 1217,211,0165,0250,"{'0329': 'Vandalized', '1217': ""Teenager(Use if victim's age is unknown)""}"
75,90079,los angeles,01,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2010-03-18,2010-03-18,100100724,34.0482,-118.2472,400 S  MAIN                         ST,0400,210,0145,0015,{'0400': 'Force used'}
76,90079,los angeles,01,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2010-03-18,2010-03-18,100100725,34.0482,-118.2472,400 S  MAIN                         ST,0400,210,0145,0015,{'0400': 'Force used'}
77,90014,los angeles,13,Newton,624,BATTERY - SIMPLE ASSAULT,2010-03-19,2010-03-19,100100726,34.0371,-118.2475,800 E  8TH                          ST,0416 0429 0917 1804,203,1307,1000,"{'0416': 'Hit-Hit w/ weapon', '0429': 'Vict knocked to ground', '0917': ""Victim's Employment"", '1804': ""Susp is/was victim's employer""}"
78,90014,los angeles,01,Central,210,ROBBERY,2010-03-19,2010-03-19,100100728,34.0446,-118.2450,5TH,0305 0344 0416,504,0147,1140,"{'0305': 'Attacks from rear', '0344': 'Removes vict property', '0416': 'Hit-Hit w/ weapon'}"
79,90012,los angeles,01,Central,647,THROWING OBJECT AT MOVING VEHICLE,2010-03-20,2010-03-23,100100730,34.0627,-118.2463,CESAR E CHAVEZ,,122,0111,1215,{'nan': 'Unknown code'}
80,90012,los angeles,01,Central,330,BURGLARY FROM VEHICLE,2010-03-21,2010-03-21,100100731,34.0635,-118.2458,BARTLETT,0344 0906 1402 1609,101,0111,0320,"{'0344': 'Removes vict property', '0906': 'Gangs', '1402': 'Evidence Booked (any crime)', '1609': 'Smashed'}"
81,90029,los angeles,11,Northeast,946,OTHER MISCELLANEOUS CRIME,2010-03-21,2010-03-21,100100733,34.0917,-118.2741,WAVERLY,1402,102,1171,1000,{'1402': 'Evidence Booked (any crime)'}
82,90014,los angeles,01,Central,624,BATTERY - SIMPLE ASSAULT,2010-03-21,2010-03-21,100100734,34.0452,-118.2534,700 S  BROADWAY,0416 0419 1202,501,0163,1315,"{'0416': 'Hit-Hit w/ weapon', '0419': 'Pulled victims hair', '1202': 'Aged (60 & over) or blind/crippled/unable to care for self'}"
83,90017,los angeles,01,Central,343,SHOPLIFTING-GRAND THEFT ($950.01 & OVER),2010-03-22,2010-03-22,100100736,34.0480,-118.2577,700 W  7TH                          ST,0344 0601 1402 1606,404,0162,1330,"{'0344': 'Removes vict property', '0601': 'Business', '1402': 'Evidence Booked (any crime)', '1606': 'Open/unlocked'}"
84,90015,los angeles,01,Central,627,CHILD ABUSE (PHYSICAL) - SIMPLE ASSAULT,2010-03-19,2010-03-22,100100738,34.0317,-118.2641,1800 S  MAIN                         ST,0416 0552,502,0195,1730,"{'0416': 'Hit-Hit w/ weapon', '0552': ""Suspect is Victim's Father""}"
85,90071,los angeles,01,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2010-03-22,2010-03-25,100100740,34.0516,-118.2526,4TH                          ST,0416,101,0142,1915,{'0416': 'Hit-Hit w/ weapon'}
86,90017,los angeles,01,Central,440,THEFT PLAIN - PETTY ($950 & UNDER),2010-03-22,2010-03-24,100100741,34.0480,-118.2577,700 W  7TH                          ST,0433,203,0162,2030,{'0433': 'Makes victim kneel'}
87,90015,los angeles,01,Central,310,BURGLARY,2010-03-23,2010-03-25,100100743,34.0320,-118.2667,200 W  WASHINGTON                   BL,0344,203,0192,0125,{'0344': 'Removes vict property'}
88,90026,los angeles,01,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2010-03-23,2010-03-23,100100744,34.0717,-118.2493,1200    INNES                        AV,0311 0329 0906,501,0101,0230,"{'0311': 'Graffiti', '0329': 'Vandalized', '0906': 'Gangs'}"
89,90014,los angeles,01,Central,624,BATTERY - SIMPLE ASSAULT,2010-03-24,2010-03-24,100100751,34.0446,-118.2450,5TH,0400 0416,102,0147,2015,"{'0400': 'Force used', '0416': 'Hit-Hit w/ weapon'}"
90,90017,los angeles,01,Central,946,OTHER MISCELLANEOUS CRIME,2010-03-25,2010-03-25,100100753,34.0475,-118.2657,900    GEORGIA                      ST,0906 1501,502,0171,0240,"{'0906': 'Gangs', '1501': 'Other MO (see rpt)'}"
91,90015,los angeles,01,Central,626,INTIMATE PARTNER - SIMPLE ASSAULT,2010-03-27,2010-03-27,100100756,34.0454,-118.2657,900 W  OLYMPIC                      BL,2000,503,0171,0530,{'2000': 'Domestic violence'}
92,90014,los angeles,01,Central,624,BATTERY - SIMPLE ASSAULT,2010-03-27,2010-03-27,100100757,34.0474,-118.2531,600 S  HILL                         ST,0400,201,0152,1140,{'0400': 'Force used'}
93,90079,los angeles,01,Central,946,OTHER MISCELLANEOUS CRIME,2010-03-26,2010-03-27,100100758,34.0496,-118.2458,100 E  3RD                          ST,1501,502,0135,1500,{'1501': 'Other MO (see rpt)'}
94,90013,los angeles,01,Central,251,SHOTS FIRED AT INHABITED DWELLING,2010-03-28,2010-03-28,100100759,34.0449,-118.2415,500 E  4TH                          ST,0906 1100 1402,213,0148,0055,"{'0906': 'Gangs', '1100': 'Shots Fired', '1402': 'Evidence Booked (any crime)'}"
95,90017,los angeles,01,Central,946,OTHER MISCELLANEOUS CRIME,2010-03-28,2010-03-28,100100760,34.0450,-118.2640,800 W  OLYMPIC                      BL,1402,210,0171,0100,{'1402': 'Evidence Booked (any crime)'}
96,90014,los angeles,01,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2010-03-29,2010-04-01,100100764,34.0373,-118.2503,SAN PEDRO                    ST,0329,203,0176,2320,{'0329': 'Vandalized'}
97,90012,los angeles,01,Central,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,2010-03-31,2010-03-31,100100765,34.0635,-118.2426,700    ALPINE                       ST,0329 0421,501,0111,1515,"{'0329': 'Vandalized', '0421': 'Threaten to kill'}"
98,90014,los angeles,01,Central,331,THEFT FROM MOTOR VEHICLE - GRAND ($400 AND OVER),2010-04-02,2010-04-03,100100772,34.0416,-118.2584,HILL,0344,108,0182,2230,{'0344': 'Removes vict property'}
99,90012,los angeles,01,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),2010-04-03,2010-04-03,100100773,34.0644,-118.2387,COLLEGE,0329 1402,122,0111,0001,"{'0329': 'Vandalized', '1402': 'Evidence Booked (any crime)'}"
100,90013,los angeles,01,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2010-04-05,2010-04-06,100100777,34.0442,-118.2439,500 S  SAN PEDRO,0416,710,0157,1940,{'0416': 'Hit-Hit w/ weapon'}
101,90079,los angeles,01,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),2010-04-02,2010-04-05,100100781,34.0537,-118.2455,100 N  BROADWAY,0329,108,0123,1900,{'0329': 'Vandalized'}
102,90017,los angeles,01,Central,510,VEHICLE - STOLEN,2010-04-08,2010-04-08,100100786,34.0481,-118.2633,FRANCISCO                    ST,,101,0161,0220,{'nan': 'Unknown code'}
103,90014,los angeles,01,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2010-04-08,2010-04-08,100100788,34.0460,-118.2509,200 W  6TH                          ST,0416,101,0153,0920,{'0416': 'Hit-Hit w/ weapon'}
104,90079,los angeles,01,Central,210,ROBBERY,2010-04-10,2010-04-10,100100792,34.0496,-118.2458,100 E  3RD                          ST,0302,406,0135,1710,{'0302': 'Aimed gun'}
105,90079,los angeles,01,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2010-04-11,2010-04-14,100100797,34.0524,-118.2467,300 W  2ND                          ST,0416 0429,102,0133,0200,"{'0416': 'Hit-Hit w/ weapon', '0429': 'Vict knocked to ground'}"
106,90012,los angeles,01,Central,740,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",2010-04-12,2010-04-12,100100799,34.0672,-118.2385,YALE,0329 1251 1300,122,0111,1700,"{'0329': 'Vandalized', '1251': 'Victim was a student', '1300': 'Vehicle involved'}"
107,90013,los angeles,01,Central,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,2010-04-13,2010-04-14,100100801,34.0459,-118.2351,900 E  3RD                          ST,0421,729,0139,1730,{'0421': 'Threaten to kill'}
108,90014,los angeles,01,Central,946,OTHER MISCELLANEOUS CRIME,2010-04-14,2010-04-14,100100802,34.0446,-118.2490,200 E  6TH                          ST,0914,101,0155,1515,{'0914': 'Other Felony'}
109,90017,los angeles,01,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2010-04-14,2010-04-14,100100803,34.0494,-118.2599,700 S  FIGUEROA                     ST,0344 1402,203,0161,0915,"{'0344': 'Removes vict property', '1402': 'Evidence Booked (any crime)'}"
