Zipcode,City,Area ID,Area Name,Crime Code,Crime Code Description,Date Occurred,Date Reported,DR #,Latitude,Longitude,Location,MO Code,Premise Code,Reporting District,Time Occurred,mo_descriptions,count_of_crime,charge_of_violations
90079,los angeles,01,Central,624,BATTERY - SIMPLE ASSAULT,2010-03-11,2010-03-12,100100693,34.0530,-118.2444,1ST,0416 0417,802,0123,0815,"{'0416': 'Hit-Hit w/ weapon', '0417': 'Kicked'}",2,2
90014,los angeles,01,Central,230,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",2010-03-12,2010-03-12,100100694,34.0435,-118.2471,600    WALL                         ST,0416 0411 0417 1402,101,0166,0930,"{'0416': 'Hit-Hit w/ weapon', '0411': 'Cut/stabbed', '0417': 'Kicked', '1402': 'Evidence Booked (any crime)'}",4,4
90017,los angeles,01,Central,341,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",2010-03-12,2010-03-12,100100697,34.0499,-118.2614,7TH,0344 1402,101,0151,1520,"{'0344': 'Removes vict property', '1402': 'Evidence Booked (any crime)'}",2,2
90014,los angeles,01,Central,624,BATTERY - SIMPLE ASSAULT,2010-03-13,2010-03-13,100100706,34.0452,-118.2534,7TH                          ST,0400 2000,102,0153,1615,"{'0400': 'Force used', '2000': 'Domestic violence'}",2,2
90014,los angeles,01,Central,220,ATTEMPTED ROBBERY,2010-03-14,2010-03-14,100100708,34.0407,-118.2468,SAN PEDRO                    ST,0337 0400 0411 0432 0906,102,0166,0800,"{'0337': 'Demands money', '0400': 'Force used', '0411': 'Cut/stabbed', '0432': 'Intimidation', '0906': 'Gangs'}",5,5
90071,los angeles,01,Central,930,CRIMINAL THREATS - NO WEAPON DISPLAYED,2010-03-12,2010-03-14,100100711,34.0502,-118.2540,600 W  5TH                          ST,0432,725,0152,1700,{'0432': 'Intimidation'},1,1
90013,los angeles,01,Central,761,BRANDISH WEAPON,2010-03-14,2010-03-14,100100713,34.0442,-118.2439,500 S  SAN PEDRO                    ST,0334,710,0156,2000,{'0334': 'Brandishes weapon'},1,1
90017,los angeles,01,Central,624,BATTERY - SIMPLE ASSAULT,2010-03-14,2010-03-15,100100714,34.0451,-118.2604,600 W  9TH                          ST,0416,406,0162,2050,{'0416': 'Hit-Hit w/ weapon'},1,1
90014,los angeles,01,Central,626,INTIMATE PARTNER - SIMPLE ASSAULT,2010-03-15,2010-03-15,100100715,34.0407,-118.2468,700 S  SAN PEDRO                    ST,2000,502,0176,0001,{'2000': 'Domestic violence'},1,1
90021,los angeles,01,Central,745,VANDALISM - MISDEAMEANOR ($399 OR UNDER),2010-03-14,2010-03-14,100100716,34.0384,-118.2305,6TH                          ST,0329,102,0159,2305,{'0329': 'Vandalized'},1,1
90014,los angeles,01,Central,624,BATTERY - SIMPLE ASSAULT,2010-03-16,2010-03-16,100100719,34.0446,-118.2450,5TH                          ST,0416,503,0156,1650,{'0416': 'Hit-Hit w/ weapon'},1,1
