house_price,zip_code,house_address,beds,baths,house_link
995000,90024,"10608 Wilkins Ave #303, Los Angeles, CA 90024",2,2,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-5/CA/Los-Angeles/10608-Wilkins-Ave-90024/unit-303/home/6805467
5675000,90274,"2828 Via Neve, Palos Verdes Estates, CA 90274",5,6,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-6/CA/Palos-Verdes-Estates/2828-Via-Neve-90274/home/7725258
2195000,91302,"24474 Mulholland Hwy, Calabasas, CA 91302",3,3,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-6/CA/Calabasas/24474-Mulholland-Hwy-91302/home/6853701
849000,90732,"2711 S Anchovy Ave, San Pedro, CA 90732",3,2,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-6/CA/San-Pedro/2711-S-Anchovy-Ave-90732/home/7737865
449000,90803,"5959 E Naples #111, Long Beach, CA 90803",1,0.75,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-6/CA/Long-Beach/5959-E-Naples-Plz-90803/unit-111/home/7592440
415000,90280,"9814 Karmont Ave, South Gate, CA 90280",2,3,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-6/CA/South-Gate/9814-Karmont-Ave-90280/home/7389993
289900,90601,"4140 Workman Mill Rd #137, Whittier, CA 90601",1,1,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-6/CA/Whittier/4140-Workman-Mill-Rd-90601/unit-137/home/7806267
29900,CA,"4 West K4, Lancaster, CA",0,—Baths,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-6/CA/Lancaster/4-4th-St-W-Unknown/home/172333077
2400000,91301,"29055 Wagon Rd, Agoura Hills, CA 91301",7,7,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-6/CA/Agoura-Hills/29055-Wagon-Rd-91301/home/3461884
1225000,90064,"2551 Granville Ave, Los Angeles, CA 90064",2,2,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-6/CA/Los-Angeles/2551-Granville-Ave-90064/home/6754576
1499000,90291,"1622 Glyndon Ave, Venice, CA 90291",2,1.75,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-6/CA/Venice/1622-Glyndon-Ave-90291/home/6745678
639900,90808,"6156 E Huntdale St, Long Beach, CA 90808",3,2,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-6/CA/Long-Beach/6156-E-Huntdale-St-90808/home/7563550
411000,90280,"10601 San Jose Ave, South Gate, CA 90280",2,1,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-6/CA/South-Gate/10601-San-Jose-Ave-90280/home/7375464
225000,93551,"Godde Hill Rd Wic Vic Rd, Palmdale, CA 93551",0,—Baths,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-6/CA/Palmdale/Godde-Hill-Rd-93551/home/113163568
650000,90293,"8701 Falmouth Ave #206, Playa Del Rey, CA 90293",2,1,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-6/CA/Playa-Del-Rey/8701-Falmouth-Ave-90293/unit-206/home/6629867
567500,91354,"28723 Jardineras Dr, Valencia, CA 91354",3,3,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-6/CA/Valencia/28723-Jardineras-Dr-91354/home/167293756
584900,90670,"11649 Garetal St, Santa Fe Springs, CA 90670",3,2,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-6/CA/Santa-Fe-Springs/11649-Garetal-St-90670/home/7753721
390000,90059,"10715 S Central Ave, Los Angeles, CA 90059",2,2,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-6/CA/Los-Angeles/10715-S-Central-Ave-90059/home/170232741
615000,90047,"7614 La Salle Ave, Los Angeles, CA 90047",3,2,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-6/CA/Los-Angeles/7614-La-Salle-Ave-90047/home/7281990
67000,93534,"48303 N 20th Street West #64, Lancaster, CA 93534",2,2,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-6/CA/Lancaster/48303-20th-St-W-93534/unit-64/home/170441476
830000,90640,"1432 Appian Way, Montebello, CA 90640",4,3,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-6/CA/Montebello/1432-Appian-Way-90640/home/6997548
1659000,91436,"16963 Cotter Pl, Encino, CA 91436",4,3.5,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-7/CA/Encino/16963-Cotter-Pl-91436/home/4947008
849000,91016,"425 Norumbega Dr, Monrovia, CA 91016",3,1.75,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-7/CA/Monrovia/425-Norumbega-Dr-91016/home/7971535
2398000,91024,"700 Oak Crest Dr, Sierra Madre, CA 91024",5,5,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-7/CA/Sierra-Madre/700-Oak-Crest-Dr-91024/home/7224693
570000,91792,"1822 Bauer Dr, West Covina, CA 91792",4,2,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-7/CA/West-Covina/1822-Bauer-Dr-91792/home/8082984
2999000,91103,"1395 El Mirador Dr, Pasadena, CA 91103",4,4,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-7/CA/Pasadena/1395-El-Mirador-Dr-91103/home/7183233
349000,CA,"9511 Laurel, Los Angeles, CA",0,—Baths,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-7/CA/Los-Angeles/9511-Laurel-St-90002/home/83002282
860000,90025,"1825 Selby Ave #201, Los Angeles, CA 90025",2,1.5,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-7/CA/Los-Angeles/1825-Selby-Ave-90025/unit-201/home/12290122
1650000,90401,"1755 Ocean Ave #505, Santa Monica, CA 90401",1,1,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-7/CA/Santa-Monica/1755-Ocean-Ave-90401/unit-505/home/55580455
1098888,91208,"885 Calle La Primavera, Glendale, CA 91208",4,3,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-7/CA/Glendale/885-Calle-La-Primavera-91208/home/7169976
629000,90230,"5650 Sumner Way #103, Culver City, CA 90230",2,2,https://www.redfin.com/county/321/CA/Los-Angeles-County/Page-7/CA/Culver-City/5650-N-Sumner-Way-90230/unit-103/home/6649700
